학년도,구분,내용,주관부서,start,end
2026,학사일정,2027년 봄 졸업대상자 졸업논문 제출,각 단과대학,2026-11-16,2026-12-11
2026,학사일정,학기 3/4 기준일,,2026-11-17,2026-11-17
2026,학사일정,전과(전공변경) 신청,학사지원팀,2026-11-25,2026-11-27
2026,학사일정,졸업연기 신청,학사지원팀,2026-11-25,2026-11-27
2026,학사일정,"2027학년도 1학기 교내장학신청(복지,새터민,국가유공자,종단추천)",장학팀,2026-12-01,2026-12-18
2026,학사일정,2학기 성적처리(입력),담당교원,2026-12-01,2026-12-22
2026,학사일정,취득교과목 학점포기 신청(2차),학사지원팀,2026-12-02,2026-12-04
2026,학사일정,다전공(복수∙연계∙융합∙학생설계전공) 신청,학사지원팀,2026-12-02,2026-12-18
2026,학사일정,나노∙마이크로디그리 신청,학사지원팀,2026-12-02,2026-12-18
2026,학사일정,2학기 기말시험,,2026-12-08,2026-12-14
2026,학사일정,종강,,2026-12-14,2026-12-14
2026,학사일정,2026학년도 2학기 보강 시행기간,,2026-12-15,2026-12-21
2026,학사일정,2027학년도 1학기 학·석사연계과정 신청,대학원실,2026-12-21,2026-12-28
2026,학사일정,겨울 계절학기,학사지원팀,2026-12-22,2027-01-13
2026,학사일정,겨울 방학,,2026-12-22,2027-02-28
2026,학사일정,"2학기 성적처리(공시,정정) 2027",담당교원,2026-12-23,2026-12-28
2026,학사일정,2027학년도 1학기 복학 신청(1차) 2027,학사지원팀/대학원실,2027-01-04,2027-01-07
2026,학사일정,최종제본논문 제출마감일 2027,대학원실,2027-01-08,2027-01-08
2026,학사일정,2027학년도 1학기 휴학 신청(1차) 2027,학사지원팀/대학원실,2027-01-14,2027-01-20
2026,학사일정,2027학년도 1학기 복학 신청(2차) 2027,학사지원팀/대학원실,2027-01-14,2027-01-20
2026,학사일정,2027년 봄 졸업대상자 영어성적 제출 마감 2027,다르마칼리지 학사운영실,2027-01-15,2027-01-15
2026,학사일정,종합시험 접수 2027,대학원실,2027-01-18,2027-01-29
2026,학사일정,제2외국어시험 접수 2027,대학원실,2027-01-25,2027-01-29
2026,학사일정,2027학년도 1학기 학부 수강 신청 2027,학사지원팀,2027-02-01,2027-02-05
2026,학사일정,2026학년도 1학기 대학원 수강 신청 2027,대학원실,2027-02-11,2027-02-16
2026,학사일정,"대학원 외국어(영어, 한국어)시험 접수 2027",대학원실,2027-02-11,2027-02-16
2026,학사일정,2027년 봄 학위수여식(서울캠퍼스) 2027,학사지원팀,2027-02-18,2027-02-18
2026,학사일정,2027년 봄 학위수여식(WISE캠퍼스) 2027,WISE캠퍼스,2027-02-19,2027-02-19
2026,학사일정,일반대학원 신입생 오리엔테이션 2027,대학원실,2027-02-19,2027-02-19
2026,학사일정,일반대학원 신입생 수강신청 2027,대학원실,2027-02-19,2027-02-23
2026,학사일정,2027학년도 1학기 등록 동국대학교 챗봇 서비스 열기 닫기 TOP 개인정보처리방침 개인정보 목적외 이용·제공대장 대학정보공시 입찰공고 관련기관 DUICA 현장실습지원센터/IPP사업단 IT융합교육센터 SW교육원 건강증진센터 경기 RISE 사업단 고양학사 공용기기원 공학교육혁신센터 과학영재교육원 교수학습혁신센터 남산학사 다르마칼리지 대학미디어센터 대학혁신지원사업단 동국역경원 만해마을캠퍼스 교육원 미래융합교육원 바이오메디캠퍼스 박물관 반도체 인재양성 부트캠프 사업단 발전기금 생활협동조합 서울 RISE 사업단 원격미래융합교육원(위드캠퍼스) 의료원 이차전지 인재양성 부트캠프 사업단 이해랑예술극장 인권센터 입학처 자율사물(AT)사업단 장애학생지원센터 정각원 중앙도서관 참사람사회공헌센터 창업기술원 총동창회 출판문화원 취업팀 카운슬링센터 한국어교육원 대학 불교대학 문과대학 이과대학 법과대학 사회과학대학 경찰사법대학 경영대학 바이오시스템대학 공과대학 첨단융합대학 사범대학 예술대학 약학대학 미래융합대학 다르마칼리지 열린전공학부 마중대학/마중학과 나노디그리 마이크로디그리 다전공 모듈-트랙 교육과정 대학원 영상대학원 경영전문대학원 불교대학원 행정대학원 경찰사법대학원 교육대학원 언론정보대학원 문화예술대학원 국제정보보호대학원 법무대학원 미래융합대학원 교육서비스과학대학원 부속교육기관 한국어교육원 과학영재교육원 만해마을캠퍼스 교육원 미래융합교육원 원격미래융합교육원(위드캠퍼스) 부속기관 박물관 대학미디어센터 남산학사 고양학사 행정부서 입학처 중앙도서관 취업팀 현장실습지원센터 참사람사회공헌센터 장애학생지원센터 건강증진센터 인권센터 카운슬링센터 한국어교육원 SW교육원 서울캠퍼스 04620 서울특별시 중구 필동로 1길 30 동국대학교 TEL : 02-2260-3114 바이오메디캠퍼스 10326 경기도 고양시 일산동구 동국로32 동국대학교 바이오메디캠퍼스 TEL : 02-2260-3114 Copyright(c) DONGGUK UNIVERSITY. ALL RIGHTS RESERVED.,재무팀,2027-02-19,2027-02-25
